iter	RMSE
0	9494.027718
1	8991.812693
2	8589.997988
3	8217.628184
4	7925.55645
5	7649.467998
6	7426.087715
7	7225.152365
8	7041.467693
9	6871.110782
10	6742.60647
11	6635.12577
12	6516.759628
13	6463.012199
14	6385.611813
15	6304.542545
16	6251.49595
17	6179.689537
18	6130.129972
19	6088.748354
20	6046.120588
21	6016.774128
22	5989.797517
23	5948.071896
24	5925.368679
25	5901.320453
26	5871.411558
27	5849.51038
28	5821.392475
29	5807.949733
30	5788.609188
31	5782.314484
32	5757.586836
33	5734.70897
34	5706.364386
35	5677.473694
36	5659.765399
37	5648.146254
38	5622.528085
39	5599.628658
40	5581.422915
41	5575.624686
42	5568.222531
43	5561.505538
44	5558.639576
45	5546.20585
46	5519.195563
47	5508.876538
48	5497.50437
49	5483.012281
50	5454.278476
51	5440.132678
52	5439.826414
53	5431.365809
54	5409.356648
55	5395.453539
56	5393.637592
57	5393.585955
58	5385.953066
59	5381.131313
60	5380.715117
61	5371.279338
62	5358.154148
63	5352.56121
64	5337.016507
65	5328.172614
66	5318.583375
67	5309.444614
68	5300.858254
69	5293.645907
70	5293.642131
71	5285.199626
72	5280.537632
73	5266.764405
74	5256.155151
75	5247.53237
76	5239.100641
77	5232.482242
78	5228.616054
79	5224.502936
80	5217.236562
81	5214.804969
82	5210.183782
83	5210.139882
84	5208.507143
85	5206.773112
86	5194.295265
87	5177.44423
88	5170.397086
89	5166.542204
90	5163.346565
91	5156.787903
92	5154.630705
93	5152.588988
94	5127.903195
95	5112.715014
96	5098.768985
97	5093.85308
98	5088.282267
99	5078.806776
100	5071.730965
101	5056.034023
102	5049.400294
103	5041.723158
104	5039.873842
105	5027.086886
106	5023.270016
107	5014.89101
108	5001.684526
109	4999.897308
110	4998.621721
111	4996.514557
112	4984.950759
113	4983.525516
114	4970.333846
115	4952.971524
116	4944.498434
117	4940.875235
118	4933.666061
119	4932.387669
120	4925.215195
121	4922.037061
122	4911.510583
123	4907.869608
124	4900.051448
125	4895.170163
126	4894.007926
127	4890.681751
128	4883.425488
129	4872.983956
130	4866.609121
131	4859.946984
132	4846.711283
133	4845.130879
134	4844.9807
135	4835.933192
136	4833.365975
137	4825.717668
138	4822.528652
139	4810.448857
140	4795.362432
141	4794.323842
142	4793.309143
143	4787.453519
144	4768.459203
145	4749.738359
146	4746.63349
147	4741.62823
148	4733.626357
149	4732.609112
150	4728.015278
151	4715.125983
152	4714.685014
153	4712.963083
154	4709.003578
155	4704.632728
156	4694.818543
157	4686.358865
158	4679.988356
159	4672.193648
160	4668.459141
161	4664.985983
162	4658.550209
163	4651.716746
164	4647.876434
165	4633.459458
166	4631.490044
167	4630.758405
168	4623.730996
169	4617.321773
170	4613.833045
171	4613.081685
172	4612.413576
173	4611.078445
174	4607.77655
175	4602.592782
176	4594.663492
177	4591.799744
178	4588.282007
179	4580.776779
180	4574.152457
181	4567.567449
182	4564.327421
183	4558.535924
184	4554.428102
185	4549.539315
186	4542.264044
187	4536.187345
188	4530.388759
189	4525.830896
190	4516.688236
191	4513.492814
192	4508.360182
193	4505.901101
194	4501.613523
195	4498.733919
196	4493.373832
197	4490.85391
198	4481.82169
199	4481.26732
200	4479.050411
201	4475.198448
202	4471.051356
203	4463.832642
204	4460.795915
205	4457.524632
206	4454.013897
207	4449.465039
208	4445.754613
209	4441.670957
210	4441.11284
211	4426.178303
212	4425.306732
213	4412.402684
214	4411.854076
215	4394.871304
216	4391.919034
217	4386.430355
218	4381.534306
219	4373.340407
220	4369.555761
221	4363.897035
222	4361.048877
223	4356.31666
224	4354.653188
