iter	Passed	Remaining
0	62	74615
1	67	40342
2	71	28402
3	75	22505
4	77	18410
5	80	15988
6	83	14263
7	88	13223
8	93	12337
9	97	11623
10	103	11151
11	105	10434
12	110	10090
13	111	9466
14	114	9075
15	117	8710
16	121	8457
17	125	8250
18	129	8018
19	132	7798
20	135	7621
21	138	7412
22	143	7341
23	150	7363
24	153	7233
25	156	7077
26	161	7001
27	165	6912
28	168	6821
29	172	6717
30	175	6616
31	176	6459
32	180	6388
33	183	6288
34	187	6233
35	191	6194
36	195	6139
37	199	6092
38	203	6045
39	206	6000
40	211	5979
41	213	5891
42	216	5825
43	220	5800
44	221	5691
45	226	5671
46	228	5614
47	233	5602
48	237	5585
49	241	5560
50	245	5536
51	249	5515
52	253	5480
53	257	5455
54	261	5454
55	265	5422
56	266	5343
57	267	5268
58	272	5260
59	277	5271
60	278	5202
61	282	5176
62	285	5146
63	289	5130
64	293	5133
65	300	5155
66	304	5152
67	308	5133
68	311	5113
69	316	5110
70	317	5056
71	322	5046
72	326	5040
73	330	5031
74	334	5018
75	341	5052
76	347	5074
77	353	5083
78	357	5078
79	362	5071
80	366	5061
81	369	5037
82	372	5011
83	373	4960
84	376	4942
85	380	4924
86	383	4905
87	390	4936
88	394	4925
89	399	4922
90	403	4912
91	408	4916
92	411	4893
93	414	4877
94	418	4868
95	422	4856
96	427	4863
97	431	4855
98	437	4863
99	442	4862
100	446	4862
101	452	4865
102	457	4872
103	463	4882
104	467	4876
105	471	4871
106	475	4861
107	482	4876
108	487	4878
109	491	4873
110	497	4884
111	502	4877
112	506	4867
113	509	4857
114	515	4866
115	521	4877
116	528	4892
117	534	4900
118	540	4913
119	545	4910
120	552	4928
121	556	4916
122	560	4906
123	563	4889
124	567	4879
125	572	4876
126	576	4866
127	579	4856
128	584	4853
129	588	4839
130	591	4828
131	595	4818
132	599	4806
133	602	4791
134	605	4778
135	610	4776
136	613	4762
137	618	4759
138	622	4754
139	627	4749
140	633	4759
141	636	4743
142	640	4736
143	644	4727
144	648	4715
145	657	4749
146	662	4747
147	666	4736
148	669	4725
149	673	4712
150	676	4697
151	680	4693
152	684	4685
153	688	4678
154	693	4674
155	697	4665
156	701	4657
157	705	4654
158	710	4649
159	713	4638
160	717	4627
161	720	4618
162	724	4606
163	728	4599
164	732	4594
165	737	4591
166	740	4582
167	743	4568
168	748	4567
169	751	4555
170	755	4548
171	759	4539
172	763	4530
173	766	4519
174	770	4515
175	774	4506
176	778	4501
177	783	4499
178	786	4488
179	790	4479
180	793	4466
181	797	4462
182	802	4457
183	805	4449
184	808	4437
185	812	4428
186	816	4423
187	819	4413
188	826	4418
189	830	4414
190	835	4412
191	838	4399
192	841	4391
193	844	4380
194	848	4374
195	851	4364
196	856	4358
197	859	4348
198	864	4349
199	868	4343
200	873	4342
201	878	4340
202	882	4336
203	887	4332
204	891	4326
205	895	4320
206	899	4313
207	902	4303
208	906	4299
209	910	4290
210	913	4281
211	917	4276
212	921	4268
213	925	4262
214	928	4252
215	932	4247
216	936	4244
217	940	4236
218	943	4227
219	946	4216
220	949	4207
221	953	4201
222	956	4191
223	960	4186
224	964	4180
225	968	4172
226	972	4170
227	977	4167
228	983	4171
229	987	4165
230	990	4155
231	994	4148
232	998	4142
233	1002	4137
234	1005	4130
235	1009	4124
236	1014	4122
237	1018	4115
238	1021	4108
239	1024	4099
240	1028	4092
241	1031	4083
242	1035	4076
243	1039	4074
244	1043	4065
245	1047	4062
246	1051	4056
247	1054	4048
248	1058	4041
249	1062	4038
250	1067	4036
251	1071	4032
252	1075	4026
253	1079	4020
254	1082	4012
255	1086	4007
256	1091	4005
257	1094	3997
258	1098	3991
259	1102	3985
260	1105	3977
261	1109	3970
262	1113	3966
263	1119	3969
264	1122	3962
265	1126	3955
266	1131	3952
267	1135	3950
268	1139	3944
269	1144	3940
270	1147	3934
271	1151	3929
272	1155	3924
273	1159	3919
274	1164	3916
275	1168	3911
276	1172	3905
277	1176	3901
278	1181	3899
279	1185	3894
280	1188	3886
281	1191	3878
282	1194	3869
283	1197	3861
284	1200	3853
285	1204	3850
286	1209	3846
287	1213	3843
288	1217	3838
289	1221	3832
290	1225	3826
291	1228	3820
292	1231	3811
293	1234	3804
294	1237	3797
295	1240	3789
296	1243	3780
297	1247	3775
298	1251	3771
299	1255	3765
300	1259	3761
301	1263	3756
302	1267	3752
303	1271	3746
304	1274	3740
305	1278	3734
306	1282	3729
307	1285	3722
308	1288	3716
309	1293	3712
310	1296	3705
311	1299	3698
312	1302	3691
313	1306	3685
314	1309	3677
315	1313	3675
316	1319	3674
317	1323	3670
318	1326	3664
319	1331	3660
320	1334	3653
321	1337	3647
322	1340	3640
323	1344	3634
324	1348	3629
325	1352	3624
326	1355	3619
327	1361	3620
328	1366	3617
329	1370	3612
330	1374	3608
331	1379	3606
332	1384	3603
333	1388	3599
334	1391	3592
335	1394	3585
336	1397	3579
337	1401	3575
338	1405	3569
339	1410	3568
340	1414	3562
341	1417	3557
342	1421	3551
343	1425	3546
344	1428	3540
345	1431	3532
346	1434	3526
347	1437	3519
348	1441	3515
349	1444	3508
350	1447	3501
351	1452	3498
352	1455	3493
353	1459	3488
354	1463	3483
355	1466	3477
356	1470	3473
357	1475	3469
358	1479	3466
359	1483	3461
360	1486	3454
361	1490	3449
362	1493	3444
363	1497	3439
364	1501	3435
365	1506	3432
366	1509	3425
367	1512	3419
368	1517	3416
369	1521	3413
370	1525	3408
371	1529	3404
372	1532	3397
373	1536	3394
374	1541	3390
375	1544	3385
376	1548	3381
377	1551	3374
378	1554	3368
379	1558	3362
380	1562	3358
381	1565	3352
382	1569	3347
383	1573	3344
384	1577	3338
385	1581	3334
386	1586	3333
387	1590	3328
388	1594	3323
389	1597	3317
390	1600	3312
391	1606	3311
392	1610	3306
393	1613	3300
394	1616	3295
395	1621	3292
396	1624	3286
397	1630	3284
398	1633	3279
399	1636	3273
400	1641	3270
401	1644	3265
402	1648	3260
403	1653	3257
404	1656	3250
405	1660	3247
406	1665	3245
407	1668	3239
408	1672	3233
409	1675	3229
410	1679	3224
411	1682	3217
412	1686	3213
413	1690	3210
414	1696	3208
415	1702	3208
416	1709	3209
417	1713	3206
418	1718	3202
419	1722	3199
420	1726	3195
421	1730	3190
422	1733	3184
423	1736	3178
424	1739	3172
425	1743	3167
426	1746	3162
427	1750	3158
428	1754	3153
429	1757	3146
430	1761	3142
431	1765	3138
432	1769	3134
433	1773	3130
434	1777	3125
435	1781	3122
436	1785	3117
437	1789	3113
438	1793	3108
439	1797	3104
440	1800	3098
441	1804	3094
442	1808	3089
443	1812	3085
444	1815	3079
445	1817	3073
446	1821	3068
447	1824	3062
448	1827	3056
449	1830	3051
450	1834	3046
451	1839	3043
452	1843	3039
453	1848	3037
454	1851	3031
455	1854	3025
456	1858	3020
457	1862	3017
458	1867	3014
459	1872	3011
460	1875	3007
461	1880	3003
462	1884	2999
463	1888	2995
464	1892	2990
465	1895	2985
466	1898	2980
467	1903	2977
468	1907	2973
469	1910	2968
470	1916	2965
471	1920	2962
472	1924	2958
473	1929	2955
474	1932	2950
475	1936	2945
476	1940	2940
477	1944	2936
478	1948	2932
479	1952	2928
480	1957	2925
481	1961	2921
482	1965	2917
483	1969	2913
484	1973	2909
485	1977	2904
486	1980	2899
487	1984	2895
488	1987	2889
489	1992	2886
490	1995	2881
491	1999	2877
492	2003	2873
493	2006	2867
494	2010	2863
495	2015	2860
496	2018	2855
497	2022	2850
498	2026	2847
499	2030	2842
500	2033	2837
501	2037	2833
502	2042	2829
503	2047	2826
504	2051	2822
505	2054	2817
506	2058	2813
507	2061	2808
508	2066	2805
509	2070	2801
510	2074	2797
511	2077	2791
512	2081	2787
513	2085	2783
514	2090	2780
515	2094	2776
516	2098	2771
517	2101	2766
518	2104	2761
519	2108	2757
520	2113	2753
521	2116	2749
522	2121	2745
523	2125	2742
524	2128	2736
525	2133	2733
526	2138	2730
527	2142	2726
528	2146	2722
529	2149	2717
530	2154	2714
531	2158	2710
532	2162	2706
533	2166	2701
534	2171	2698
535	2175	2694
536	2178	2689
537	2182	2685
538	2186	2681
539	2190	2677
540	2194	2673
541	2198	2669
542	2202	2664
543	2205	2659
544	2208	2654
545	2211	2649
546	2214	2643
547	2218	2639
548	2222	2634
549	2224	2629
550	2228	2624
551	2231	2619
552	2235	2615
553	2239	2611
554	2244	2607
555	2248	2604
556	2253	2600
557	2256	2596
558	2261	2592
559	2265	2589
560	2270	2586
561	2274	2582
562	2278	2577
563	2283	2575
564	2288	2571
565	2293	2568
566	2296	2564
567	2300	2559
568	2304	2555
569	2310	2553
570	2315	2550
571	2318	2545
572	2322	2541
573	2326	2537
574	2332	2534
575	2336	2531
576	2341	2528
577	2345	2523
578	2348	2518
579	2352	2514
580	2355	2509
581	2361	2507
582	2365	2502
583	2369	2499
584	2373	2495
585	2377	2491
586	2381	2486
587	2384	2481
588	2387	2476
589	2391	2472
590	2394	2467
591	2397	2462
592	2401	2458
593	2405	2453
594	2408	2449
595	2411	2444
596	2414	2438
597	2417	2433
598	2420	2428
599	2424	2424
600	2429	2421
601	2433	2416
602	2436	2412
603	2442	2410
604	2445	2405
605	2449	2400
606	2453	2396
607	2456	2392
608	2459	2386
609	2464	2383
610	2467	2378
611	2470	2373
612	2474	2369
613	2478	2365
614	2482	2361
615	2485	2356
616	2488	2351
617	2492	2347
618	2496	2343
619	2500	2338
620	2503	2334
621	2507	2330
622	2511	2325
623	2514	2320
624	2517	2316
625	2522	2312
626	2526	2309
627	2530	2304
628	2533	2300
629	2536	2295
630	2540	2291
631	2543	2286
632	2547	2282
633	2551	2277
634	2554	2272
635	2558	2268
636	2562	2265
637	2565	2260
638	2568	2255
639	2571	2249
640	2577	2247
641	2580	2242
642	2583	2237
643	2586	2232
644	2589	2228
645	2594	2224
646	2598	2221
647	2602	2216
648	2605	2212
649	2610	2208
650	2614	2204
651	2617	2200
652	2621	2195
653	2625	2191
654	2629	2187
655	2633	2183
656	2636	2179
657	2640	2175
658	2644	2171
659	2649	2168
660	2653	2163
661	2656	2159
662	2660	2154
663	2663	2150
664	2667	2145
665	2671	2141
666	2674	2137
667	2677	2132
668	2680	2127
669	2683	2122
670	2686	2117
671	2689	2112
672	2692	2108
673	2696	2104
674	2700	2100
675	2703	2095
676	2706	2091
677	2709	2086
678	2712	2081
679	2716	2077
680	2718	2072
681	2721	2067
682	2724	2062
683	2728	2058
684	2732	2054
685	2736	2050
686	2739	2045
687	2742	2040
688	2745	2036
689	2750	2033
690	2755	2029
691	2757	2024
692	2761	2020
693	2765	2016
694	2769	2012
695	2773	2008
696	2777	2004
697	2781	2000
698	2785	1996
699	2789	1992
700	2792	1988
701	2796	1983
702	2799	1979
703	2803	1975
704	2806	1970
705	2810	1966
706	2814	1962
707	2818	1958
708	2822	1954
709	2825	1950
710	2828	1945
711	2832	1941
712	2836	1937
713	2841	1933
714	2844	1929
715	2848	1925
716	2852	1921
717	2856	1917
718	2860	1913
719	2864	1909
720	2868	1906
721	2872	1901
722	2876	1897
723	2880	1893
724	2883	1889
725	2888	1885
726	2892	1882
727	2896	1877
728	2900	1874
729	2904	1870
730	2907	1865
731	2912	1862
732	2916	1857
733	2920	1854
734	2924	1850
735	2928	1846
736	2931	1841
737	2934	1837
738	2939	1833
739	2942	1829
740	2945	1824
741	2949	1820
742	2952	1816
743	2957	1812
744	2959	1807
745	2962	1802
746	2966	1798
747	2969	1794
748	2974	1790
749	2977	1786
750	2982	1782
751	2987	1779
752	2992	1776
753	2998	1773
754	3004	1770
755	3007	1766
756	3012	1762
757	3016	1758
758	3021	1755
759	3025	1751
760	3029	1747
761	3032	1743
762	3036	1738
763	3040	1735
764	3045	1731
765	3049	1727
766	3053	1723
767	3058	1720
768	3062	1716
769	3066	1712
770	3070	1708
771	3073	1704
772	3078	1700
773	3081	1695
774	3086	1692
775	3088	1687
776	3092	1683
777	3096	1679
778	3099	1675
779	3102	1670
780	3106	1666
781	3110	1662
782	3115	1659
783	3119	1655
784	3123	1651
785	3126	1646
786	3131	1643
787	3134	1638
788	3138	1634
789	3143	1631
790	3147	1627
791	3151	1623
792	3155	1619
793	3159	1615
794	3162	1611
795	3166	1607
796	3170	1603
797	3174	1599
798	3177	1594
799	3181	1590
800	3184	1586
801	3187	1582
802	3193	1578
803	3197	1574
804	3201	1571
805	3207	1567
806	3211	1563
807	3214	1559
808	3217	1555
809	3221	1551
810	3225	1546
811	3228	1542
812	3232	1538
813	3235	1534
814	3239	1530
815	3243	1526
816	3247	1522
817	3253	1519
