iter	RMSE
0	10036.38386
1	9983.300079
2	9934.084071
3	9883.604595
4	9835.712574
5	9790.764724
6	9744.956741
7	9698.441202
8	9650.688642
9	9604.216169
10	9558.400238
11	9513.380832
12	9468.98788
13	9426.485293
14	9382.061878
15	9345.486287
16	9301.353825
17	9262.666968
18	9226.191706
19	9189.011527
20	9149.061848
21	9107.707014
22	9067.337759
23	9028.372258
24	8992.801324
25	8955.914311
26	8921.488861
27	8883.88994
28	8849.717655
29	8814.438348
30	8778.651251
31	8743.484065
32	8708.219893
33	8673.289997
34	8639.260037
35	8607.580118
36	8576.620601
37	8543.8857
38	8509.043634
39	8476.773078
40	8444.425598
41	8417.084777
42	8385.159046
43	8356.235289
44	8325.434423
45	8297.12366
46	8267.89187
47	8243.867757
48	8217.147409
49	8191.036367
50	8161.806468
51	8132.987195
52	8105.252882
53	8081.638085
54	8053.057087
55	8027.826346
56	8001.119675
57	7975.50018
58	7951.161463
59	7927.914208
60	7902.11034
61	7877.640898
62	7854.26996
63	7831.78529
64	7807.096663
65	7785.887304
66	7760.792445
67	7739.290291
68	7718.068156
69	7698.45625
70	7676.107542
71	7658.599518
72	7636.07446
73	7617.292562
74	7595.393021
75	7577.018823
76	7555.354572
77	7534.111215
78	7513.800547
79	7496.533817
80	7481.499533
81	7461.651136
82	7442.483702
83	7426.687833
84	7407.109198
85	7391.436996
86	7377.751756
87	7359.640671
88	7343.671686
89	7326.038245
90	7309.674491
91	7292.358739
92	7275.36138
93	7257.844075
94	7242.469385
95	7226.167946
96	7212.54181
97	7197.373119
98	7181.156933
99	7166.59746
100	7151.163071
101	7135.309121
102	7120.605261
103	7107.225209
104	7095.215116
105	7082.539039
106	7071.081366
107	7061.00155
108	7048.376639
109	7034.065616
110	7019.399304
111	7006.587888
112	6993.35919
113	6980.01404
114	6965.468729
115	6952.826308
116	6938.9135
117	6927.750341
118	6914.645971
119	6900.276883
120	6885.845608
121	6871.726048
122	6857.440926
123	6846.606515
124	6833.879053
125	6820.750988
126	6807.833867
127	6794.860521
128	6783.11694
129	6770.572788
130	6757.461406
131	6744.270354
132	6733.123286
133	6721.26286
134	6710.606096
135	6698.395337
136	6687.455317
137	6677.072876
138	6666.389662
139	6655.874514
140	6645.545159
141	6634.425475
142	6622.98592
143	6612.934686
144	6602.683626
145	6595.420968
146	6583.642343
147	6571.362808
148	6560.51367
149	6549.596481
150	6540.341702
151	6529.678541
152	6521.028433
153	6511.193161
154	6502.000085
155	6493.315631
156	6482.835633
157	6473.414903
158	6463.742897
159	6454.202692
160	6444.125819
161	6436.276811
162	6426.574731
163	6415.72222
164	6407.03609
165	6396.738577
166	6390.400806
167	6379.515972
168	6369.514032
169	6364.174387
170	6356.346694
171	6348.828905
172	6339.662073
173	6329.975287
174	6320.166755
175	6311.185547
176	6302.856503
177	6295.736315
178	6286.929298
179	6278.187287
180	6270.107778
181	6262.201561
182	6254.792987
183	6246.36247
184	6240.539924
185	6231.919956
186	6223.690652
187	6214.547889
188	6208.940447
189	6201.61104
190	6194.272922
191	6186.801323
192	6182.040388
193	6174.750421
194	6169.479744
195	6161.469836
196	6154.152767
197	6148.442448
198	6141.619943
199	6136.270575
200	6129.196519
201	6121.733688
202	6113.087397
203	6105.732168
204	6098.867533
205	6091.061786
206	6084.247537
207	6077.179985
208	6070.222431
209	6060.92584
210	6054.158946
211	6050.868374
212	6043.061159
213	6035.373237
214	6029.200773
215	6024.147543
216	6017.381528
217	6010.050665
218	6004.339694
219	5996.311124
220	5988.677449
221	5981.659917
222	5974.402963
223	5969.625972
224	5962.652384
225	5955.576549
226	5948.225038
227	5941.418495
228	5934.138301
229	5928.589159
230	5921.898865
231	5915.033089
232	5907.91179
233	5899.149314
234	5892.819582
235	5886.110248
236	5880.376266
237	5873.148182
238	5866.175375
239	5859.07021
240	5851.431232
241	5843.934842
242	5837.106507
243	5829.135806
244	5823.35738
245	5817.434496
246	5814.978418
247	5808.496632
248	5800.607857
249	5795.041689
250	5789.944413
251	5783.225462
252	5778.609641
253	5771.715279
254	5766.074346
255	5759.185209
256	5754.335508
257	5747.284827
258	5741.426964
259	5736.750833
260	5731.533768
261	5726.859735
262	5721.122092
263	5715.853171
264	5713.454247
265	5707.346573
266	5701.216822
267	5696.28687
268	5690.615032
269	5685.538326
270	5679.599509
271	5673.092051
272	5667.699
273	5662.490253
274	5657.237511
275	5649.354282
276	5642.773532
277	5637.961748
278	5631.684465
279	5625.203166
280	5620.383697
281	5615.497007
282	5609.160055
283	5603.968714
284	5599.417909
285	5592.455821
286	5588.500314
287	5582.588015
288	5577.129887
289	5574.329598
290	5568.142484
291	5561.831286
292	5560.166243
293	5555.053691
294	5549.316409
295	5544.592304
