iter	Passed	Remaining
0	70	116752
1	72	60081
2	76	41874
3	78	32142
4	80	26336
5	90	24919
6	95	22487
7	96	19841
8	99	18137
9	102	16780
10	112	16694
11	113	15487
12	126	15872
13	136	15896
14	138	15148
15	155	15906
16	158	15183
17	159	14451
18	171	14760
19	186	15184
20	189	14674
21	195	14442
22	197	13963
23	201	13667
24	212	13787
25	219	13706
26	232	13995
27	236	13725
28	252	14141
29	265	14362
30	277	14494
31	289	14659
32	302	14810
33	306	14563
34	308	14244
35	312	13988
36	326	14241
37	329	13957
38	332	13720
39	334	13451
40	340	13372
41	342	13094
42	344	12868
43	357	13046
44	359	12813
45	376	13117
46	379	12954
47	396	13228
48	398	13014
49	412	13198
50	418	13124
51	425	13083
52	439	13257
53	452	13363
54	455	13213
55	469	13364
56	471	13165
57	483	13261
58	495	13361
59	498	13216
60	512	13347
61	517	13247
62	528	13319
63	530	13140
64	532	12987
65	542	13010
66	556	13141
67	571	13289
68	577	13224
69	595	13446
70	599	13326
71	599	13148
72	602	13021
73	616	13138
74	625	13131
75	628	13010
76	640	13085
77	652	13152
78	654	13025
79	666	13085
80	667	12933
81	670	12818
82	688	12994
83	702	13102
84	719	13240
85	735	13384
86	736	13238
87	746	13257
88	748	13128
89	754	13076
90	768	13170
91	781	13238
92	784	13142
93	787	13031
94	803	13155
95	805	13039
96	807	12929
97	809	12824
98	817	12808
99	831	12890
100	847	12994
101	860	13052
102	863	12974
103	865	12861
104	866	12742
105	877	12788
106	879	12677
107	879	12560
108	882	12471
109	893	12506
110	911	12636
111	927	12736
112	940	12788
113	943	12714
114	961	12837
115	965	12770
116	980	12851
117	996	12933
118	1014	13049
119	1033	13182
120	1049	13257
121	1066	13356
122	1081	13422
123	1098	13520
124	1111	13565
125	1125	13616
126	1141	13688
127	1154	13733
128	1172	13827
129	1191	13927
130	1208	14012
131	1225	14094
132	1243	14179
133	1256	14215
134	1275	14309
135	1289	14355
136	1306	14429
137	1322	14492
138	1336	14529
139	1351	14577
140	1368	14645
141	1384	14704
142	1393	14682
143	1409	14746
144	1424	14781
145	1425	14685
146	1442	14753
147	1461	14834
148	1475	14866
149	1489	14897
150	1504	14939
151	1524	15020
152	1537	15047
153	1551	15075
154	1569	15137
155	1585	15184
156	1603	15252
157	1618	15286
158	1633	15314
159	1648	15355
160	1665	15402
161	1670	15342
162	1684	15366
163	1699	15402
164	1717	15459
165	1735	15517
166	1737	15432
167	1754	15477
168	1770	15516
169	1772	15427
170	1790	15487
171	1807	15529
172	1821	15551
173	1840	15614
174	1856	15643
175	1875	15705
176	1893	15758
177	1896	15683
178	1913	15721
179	1928	15750
180	1940	15749
181	1956	15779
182	1961	15721
183	1978	15760
184	1980	15679
185	1994	15695
186	2009	15720
187	2027	15764
188	2029	15690
189	2044	15708
190	2059	15728
191	2075	15759
192	2077	15687
193	2096	15734
194	2098	15660
195	2115	15695
196	2131	15723
197	2151	15780
198	2168	15808
199	2173	15754
200	2188	15778
201	2203	15793
202	2221	15837
203	2235	15842
204	2254	15892
205	2272	15927
206	2293	15985
207	2307	15996
208	2321	16008
209	2346	16087
210	2363	16119
211	2364	16040
212	2386	16098
213	2402	16121
214	2414	16112
215	2430	16134
216	2448	16172
217	2460	16164
218	2463	16099
219	2479	16116
220	2492	16113
221	2506	16124
222	2520	16130
223	2523	16061
224	2539	16082
225	2557	16115
226	2573	16134
227	2594	16182
228	2609	16193
229	2626	16215
230	2643	16238
231	2655	16228
232	2671	16245
233	2690	16280
234	2706	16298
235	2726	16334
236	2742	16349
237	2754	16343
238	2770	16357
